MOF,Density_g_cm^3,POAVF__,Cp_J_g_K,Henry_mol_kg_Pa_CO2,Henry_mol_kg_Pa_N2,T_ref_K_CO2,T_ref_K_N2,Uptake_mean_CO2,Uptake_mean_N2,Heat_mean_CO2,Heat_mean_N2,Uptake_max_CO2,Uptake_max_N2,Heat_max_CO2,Heat_max_N2,Uptake_min_CO2,Uptake_min_N2,Heat_min_CO2,Heat_min_N2,Uptake_first_CO2,Uptake_first_N2,Heat_first_CO2,Heat_first_N2,Uptake_last_CO2,Uptake_last_N2,Heat_last_CO2,Heat_last_N2,Henry_selectivity_CO2_N2,Uptake_mean_selectivity_CO2_N2,Uptake_max_selectivity_CO2_N2,Uptake_sat_mol_kg,Henry_mol_kg_Pa,Heat_henry_kJ_mol,Uptake_des_mol_kg,Heat_des_kJ_mol,Uptake_CO2_bin_mol_kg,Uptake_CO2_ter_mol_kg,WRC__,nCAC
047_dmp+N520+61_charge,1.2457,0.4324,0.716,0.00246324,2.11e-06,298.15,298.15,1.3035563433182815,4.383379869379405,-29.464875551958862,-14.298851798191821,2.3415870137658,6.7688444136335,-26.778123688675574,-13.28382254564964,0.09683351143645,0.17039344162382,-51.810968300298754,-15.277377243350672,0.09683351143645,0.17039344162382,-51.810968300298754,-15.277377243350672,2.3415870137658,6.7688444136335,-26.820463042954728,-14.474337849883161,1167.4117689991615,0.29738612261833025,0.34593600778430295,19.0027005,108000000000.0,-134.284041,0.850090479,-34.35671,0.870017346,0.142196123,0.16344056,313.6248093356376
048_dmp+N520+62_charge,0.7266,0.7023,0.7297,0.0183335,2.16e-06,298.15,298.15,1.5336588990523827,14.926743372066214,-31.813390275854243,-11.985911950384633,2.3210381277234,25.080075441037,-25.374387725422423,-9.868832319682642,0.08169301836812501,0.31489669811947,-53.933443218061555,-14.369734265553335,0.08169301836812501,0.31489669811947,-53.933443218061555,-12.059695556646709,2.3210381277234,25.080075441037,-25.374387725422423,-14.015541254083345,8487.727551977985,0.10274571357087553,0.09254510151614354,53.5416825,127000000000.0,-125.2968017,13.68759748,-45.58276,2.068212183,0.030772365,0.014878727,203.400842111132
050_dmp+N520+66_charge,1.1517,0.3572,0.8408,0.0307245,3.46e-06,298.15,298.15,1.1320513133905319,4.268780968270534,-38.83117598387863,-16.915360708588867,1.6977300449365,6.1598981674055,-32.60202722367403,-15.80882704861649,0.00664089793135,0.30473466389235,-56.997855509454034,-17.799743361273865,0.00664089793135,0.30473466389235,-56.997855509454034,-17.44891010044502,1.6977300449365,6.1598981674055,-32.60202722367403,-16.340795379027348,8879.910728349501,0.26519311292959336,0.2756100829587731,16.9694025,125000000000.0,-136.8587363,11.29374343,-56.44443,2.407696192,0.02177878,0.009045485,-376.753228604997
054_dmp+N520+70_charge,1.2861,0.5888,0.4788,0.00638853,2.49e-06,298.15,298.15,1.2874083025625642,5.6033737390697125,-27.851567102268177,-13.157587957290685,2.2051296035792,8.8771198061975,-23.04282393077209,-12.457439789445523,0.054857149669812005,0.17281189405125,-50.89562313636692,-15.049559937862682,0.054857149669812005,0.17281189405125,-50.89562313636692,-15.049559937862682,2.2051296035792,8.8771198061975,-23.362820724234652,-13.270143516528165,2565.6736684041493,0.22975592250537147,0.24840597532990996,25.247394,3253770000.0,-118.8064499,1.3727743,-42.5038,1.074851872,0.142330163,0.132418398,628.0885004133384
061_dmp+N520+77_charge,0.8417,0.6473,0.7065,0.00123029,2.27e-06,298.15,298.15,2.813331756020838,10.767569743255264,-27.057827499091,-12.350030698132555,5.8987379036525,17.708375580846,-21.78734682017039,-11.272911178089336,0.0228969282264,0.26496569939856,-48.51273979045115,-14.176753607776362,0.0228969282264,0.26496569939856,-48.51273979045115,-11.360543912805475,5.8987379036525,17.708375580846,-22.12579426337732,-14.176753607776362,541.9777348115706,0.2612782478407284,0.3331044045639313,42.4896345,12790500000.0,-118.5473542,2.24890866,-45.45444,1.169559693,0.113139362,0.096736714,355.4596886389631
063_crs+N324+79_charge,0.6631,0.7025,0.7263,0.00785981,2.21e-06,298.15,298.15,1.1820277219743383,14.899936159962538,-31.923493631752198,-11.30048835252781,2.177607387019,29.131251119966,-24.45506954168262,-8.606181082993288,0.03743193331122,0.05346321011802,-53.7247591166064,-14.650816155427664,0.03743193331122,0.05346321011802,-53.7247591166064,-11.701265672997916,2.177607387019,29.131251119966,-24.45506954168262,-14.650816155427664,3556.4735038581434,0.07933105949476973,0.07475159161723868,58.62465,3240880000.0,-117.3584456,9.13374309,-42.43616,1.249275675,0.062670214,0.05016524,217.4691270087096
064_dmp+N520+81_charge,1.1619,0.4536,0.744,0.059208,3.16e-06,298.15,298.15,1.1380199569941647,4.854301309422664,-39.502846516894756,-15.219220118520123,1.7338063938636,6.9999582632866,-34.484455302360075,-14.098539981838071,0.20980645116855,0.32822076056446,-59.52468283185368,-17.048597275369197,0.20980645116855,0.32822076056446,-59.52468283185368,-17.048597275369197,1.7338063938636,6.9999582632866,-35.04796566872758,-14.189655619771221,18736.702931423126,0.2344353768862523,0.24768810450725465,21.3289275,561000000000.0,-138.9298456,13.34496096,-53.875,2.91004584,0.026536599,0.009118963,-283.8161129113336
074_dmp+N520+93_charge,1.2526,0.394,0.7507,0.000848368,1.34e-06,298.15,298.15,2.2890028321653513,4.205585693668172,-29.59169213775164,-13.962932355469759,3.6826306151640003,6.238322760653,-27.470294190309275,-13.068586236918154,0.27831487113362,0.26704734680693,-44.16324805560076,-14.793903170272456,0.27831487113362,0.26704734680693,-44.16324805560076,-13.068586236918154,3.6826306151640003,6.238322760653,-28.588256479813023,-14.463642045182308,633.1099752910632,0.5442768258440375,0.5903238348600495,16.9684035,2640000000000.0,-142.1481968,10.11134294,-51.2196,1.066048207,0.00292745,0.002746077,150.22398005578574
078_dmp+N520+20_charge,1.1624,0.4512,0.7683,0.0281815,1.92e-06,298.15,298.15,0.9083761052124617,5.678866147667948,-38.26584718249832,-14.218624696188503,1.394819263559,8.545235412274799,-32.547099756655456,-13.494718028054653,0.010170153657293,0.33480521464041,-57.36369449247488,-15.263118334916296,0.010170153657293,0.33480521464041,-57.23396383425171,-15.089355131971367,1.394819263559,8.545235412274799,-32.547099756655456,-14.36013576891049,14677.856938616182,0.15995730161474758,0.16322771653022564,21.2707635,57200000000000.0,-144.8394195,6.662929521,-50.00001,1.790216998,0.065692268,0.036695142,461.54235455347225
093_dmp+N520+79_charge,0.9937,0.5358,0.7669,0.0175448,3.48e-06,298.15,298.15,1.3937609325744253,7.4335717296452675,-36.05998721172889,-14.67354366840515,2.3480059080814,11.158231408659,-32.168829531513765,-14.244219260722387,0.17204865778746,0.35058017207628,-56.802068373794796,-15.387197249828422,0.17204865778746,0.35058017207628,-56.802068373794796,-15.387197249828422,2.3480059080814,11.158231408659,-32.168829531513765,-14.565512994350872,5041.60774666444,0.18749545753569374,0.2104281424257873,29.654205,86025700000.0,-130.2367461,19.37844049,-60.32215,3.164145771,0.014965868,0.004729829,147.32157883204118
